2026-02-20 17:01:13 | INFO | data_preprocessing | Params preprocess: text_col=text, out_col=text_norm, min_words=3
2026-02-20 17:01:13 | INFO | data_preprocessing | Loading raw train/test...
2026-02-20 17:01:14 | INFO | data_preprocessing | Train raw shape: (333447, 2)
2026-02-20 17:01:14 | INFO | data_preprocessing | Test raw shape: (83362, 2)
2026-02-20 17:01:14 | INFO | data_preprocessing | Normalizing train...
2026-02-20 17:01:37 | INFO | data_preprocessing | Normalizing test...
2026-02-20 17:01:42 | INFO | data_preprocessing | Train processed shape: (327411, 3)
2026-02-20 17:01:42 | INFO | data_preprocessing | Test processed shape: (81744, 3)
2026-02-20 17:01:44 | INFO | data_preprocessing | Saved: data\processed\train_processed.csv
2026-02-20 17:01:44 | INFO | data_preprocessing | Saved: data\processed\test_processed.csv
2026-02-20 17:01:44 | INFO | data_preprocessing | ✅ Data preprocessing terminé.
2026-02-23 10:07:33 | INFO | data_preprocessing | Params preprocess: text_col=text, out_col=text_norm, min_words=3
2026-02-23 10:07:33 | INFO | data_preprocessing | Loading raw train/test...
2026-02-23 10:07:34 | INFO | data_preprocessing | Train raw shape: (333447, 2)
2026-02-23 10:07:34 | INFO | data_preprocessing | Test raw shape: (83362, 2)
2026-02-23 10:07:34 | INFO | data_preprocessing | Normalizing train...
2026-02-23 10:07:53 | INFO | data_preprocessing | Normalizing test...
2026-02-23 10:07:57 | INFO | data_preprocessing | Train processed shape: (327411, 3)
2026-02-23 10:07:57 | INFO | data_preprocessing | Test processed shape: (81744, 3)
2026-02-23 10:07:59 | INFO | data_preprocessing | Saved: data\processed\train_processed.csv
2026-02-23 10:07:59 | INFO | data_preprocessing | Saved: data\processed\test_processed.csv
2026-02-23 10:07:59 | INFO | data_preprocessing | Data preprocessing terminé.
